"site","subsite","lat","lon","radius","chla_temporal_sd","lst_temporal_sd","ndvi_temporal_sd","sst_temporal_sd","bathymetry_spatial_sd_slope_60km","elevation_spatial_sd_slope_60km"
"SBC","CARP",34.3916319,-119.5416933,1,35.6056138855442,1.08963851143495,8.51567726868064,1.07518964520001,10.8502947799933,8.96353533480897
"SBC","goleta_bay",34.4137165,-119.8221,1,2.05867505536348,0.967112994530935,5.30008123202359,1.02686201271153,9.94021510622733,8.37903722306515
"SBC","IVEE",34.402783,-119.85755,1,2.15616839843121,1.0713595887996,3.63137238562789,1.05999511821612,9.66117330567394,8.47870770373687
"SBC","MOHK",34.3940708,-119.72957,1,3.66675668080571,1.11349938404936,2.87753434372752,1.18433732057651,10.7173507972361,8.91415577606896
"SBC","NAPL",34.4221216,-119.95154,1,3.96092290960861,NA,NA,1.45677781577468,8.29771336214091,7.50836710667027
"SBC","santa_cruz_island_diablo",34.05865,-119.75763,1,1.20204671247588,0.893153118044855,5.48204071069216,0.974057929890166,8.88747108201725,1.09959768165723
"SBC","santa_cruz_island_twin_harbor_west",34.0444335,-119.71513,1,1.44954675761868,1.0088230251547,4.17146784128822,0.987548348355179,8.87643889396679,0.987563349645286
"SBC","SBC_mainland_coast_centroid",34.42474,-119.9158,1,5.55333921908917,1.1540276868444,4.58240768347358,1.81382699585044,8.62838411347153,7.47234724577209
"SBC","SBC_santa_cruz_island_sites_centroid",34.05154,-119.7364,1,1.48061154217865,0.945589177647746,5.13415351627586,1.03006905833584,9.69770785475628,1.03909466347567
"SBC",NA,34.2668067576407,-119.85,1,1.37384257619627,NA,NA,1.02308659854943,9.52443591655089,7.59893023741646
"SEV",NA,34.3198103136161,-106.812986408147,1,NA,1.01855032357755,2.57552900570903,NA,4.17379921870345,4.17610896582732
"SGS",NA,40.826791149303,-104.723981652827,1,NA,1.79919974290243,8.86852023159241,NA,3.70215253326712,3.72047633891748
"VCR",NA,37.4945285044286,-75.702256880578,1,1.15576797104635,0.648386320691058,8.10544297712358,4.20742525110863,0.181397394141655,0.0403119131230089
